m,tau_s,allan_variance,allan_deviation,num_pairs,adev_std_approx
1,1e-07,2.31217241899907e-22,1.52058292079027e-11,199998,3.40014377707361e-14
2,2e-07,9.75343130446707e-23,9.87594618478e-12,199996,2.20835078474804e-14
3,3e-07,3.99103171972458e-23,6.31746129368798e-12,199994,1.41264847967713e-14
4,4e-07,2.45111454956781e-23,4.95087320537278e-12,199992,1.1070710451619e-14
5,5e-07,7.46719409086307e-24,2.73261671129763e-12,199990,6.11046948656015e-15
6,6e-07,8.71034883952021e-25,9.33292496461865e-13,199988,2.08696807496063e-15
7,7e-07,5.77202183176418e-24,2.40250324282074e-12,199986,5.37234860260263e-15
9,9e-07,4.47302740700269e-24,2.11495328719163e-12,199982,4.72939214683246e-15
10,1e-06,3.8889018074772e-24,1.97202986982378e-12,199980,4.40981333876552e-15
11,1.1e-06,1.2140035434256e-24,1.10181828965833e-12,199978,2.46387611144152e-15
13,1.3e-06,1.96393527674135e-24,1.40140475121977e-12,199974,3.13383999393886e-15
15,1.5e-06,1.62993973391658e-24,1.2766909312424e-12,199970,2.85498184018377e-15
17,1.7e-06,3.76778683815409e-25,6.13823006912749e-13,199966,1.37266665123477e-15
19,1.9e-06,1.027945402581e-24,1.01387642372283e-12,199962,2.26731200910171e-15
22,2.2e-06,7.15402230743901e-25,8.45814536848298e-13,199956,1.89150687795175e-15
25,2.5e-06,6.17368829588358e-25,7.85728216108062e-13,199950,1.75716136195706e-15
29,2.9e-06,4.98133132603116e-26,2.23188963123878e-13,199942,4.99138073641312e-16
33,3.3e-06,3.57270379771441e-25,5.97720988230663e-13,199934,1.33676534574388e-15
37,3.7e-06,2.85447703533316e-25,5.3427306083436e-13,199926,1.19489195803612e-15
43,4.3e-06,2.09687760429896e-25,4.57916761464238e-13,199914,1.02415322328943e-15
49,4.9e-06,1.57946568739141e-25,3.97424922141455e-13,199902,8.88886945846844e-16
56,5.6e-06,1.18119971067921e-25,3.43685861024165e-13,199888,7.68720219959439e-16
64,6.4e-06,1.28344757515767e-26,1.13289345269433e-13,199872,2.5340377933671e-16
73,7.3e-06,6.71451773682526e-26,2.59123864914547e-13,199854,5.79630180181882e-16
84,8.4e-06,5.42704121192782e-26,2.32960108429057e-13,199832,5.21133560571829e-16
96,9.6e-06,3.97473199304108e-26,1.99367299049796e-13,199808,4.46012970797228e-16
109,1.09e-05,3.28081423646044e-26,1.81130180711566e-13,199782,4.0524031303456e-16
125,1.25e-05,2.40267294065083e-26,1.55005578630281e-13,199750,3.46819840890174e-16
143,1.43e-05,1.75722403223528e-26,1.32560327105634e-13,199714,2.96626066040616e-16
164,1.64e-05,3.22505619072055e-27,5.67895781875561e-14,199672,1.27089613486574e-16
187,1.87e-05,3.30549479580275e-28,1.81810197618361e-14,199626,4.06920609683969e-17
214,2.14e-05,8.41514771170052e-27,9.17341142198502e-14,199572,2.05343550525238e-16
245,2.45e-05,1.23993561605032e-27,3.5212719520797e-14,199510,7.88346662104499e-17
280,2.8e-05,1.08947098678269e-27,3.30071353919526e-14,199440,7.39097446545933e-17
320,3.2e-05,3.21980499692691e-27,5.67433255716204e-14,199360,1.27085432870285e-16
366,3.66e-05,2.89613919049104e-27,5.3815789416221e-14,199268,1.20556584182773e-16
418,4.18e-05,2.07074395983992e-27,4.55054278063608e-14,199164,1.01966563204063e-16
478,4.78e-05,1.0737149886229e-27,3.27675905220829e-14,199044,7.34463068086968e-17
547,5.47e-05,1.2840199850517e-27,3.58332245974556e-14,198906,8.03455725199426e-17
625,6.25e-05,5.23879978929388e-29,7.23795536687943e-15,198750,1.62353752892282e-17
715,7.15e-05,7.34514892274919e-28,2.71019352127282e-14,198570,6.08195895419375e-17
818,8.18e-05,3.87033485957244e-29,6.22120153955202e-15,198364,1.39682771092068e-17
935,9.35e-05,6.70340034112839e-29,8.18742959733297e-15,198130,1.83938423030804e-17
1070,0.000107,1.80482617243659e-28,1.34343819077641e-14,197860,3.02022075512145e-17
1223,0.0001223,2.57674799726054e-28,1.60522521698998e-14,197554,3.61154524330181e-17
1399,0.0001399,1.80242306918894e-28,1.34254350737283e-14,197202,3.02324059878829e-17
1599,0.0001599,1.50574805889426e-28,1.2270892628062e-14,196802,2.76605876310605e-17
1829,0.0001829,2.90234784284075e-29,5.38734428344871e-15,196342,1.21581675816847e-17
2092,0.0002092,2.78313970459181e-29,5.27554708498731e-15,195816,1.19218434898955e-17
2392,0.0002392,6.15235738184131e-29,7.84369643844107e-15,195216,1.77526451671164e-17
2735,0.0002735,2.88481636888576e-29,5.37104865820983e-15,194530,1.21777146510558e-17
3128,0.0003128,3.59453495405094e-29,5.99544406533072e-15,193744,1.36209445404642e-17
